No.,Site,St_tr_pt_co,Treatment,Point,Count,CHAFF,MEAPI,REDGR,SKYLA,WILWA,WREN,BLABI,BLUTI,COATI,DUNNO,LESRE,PHEAS,ROBIN,WHITE,BLACA,GOLDC,REEBU
1,BHE,BHE_C_1_1,C,1,1,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,BHE,BHE_C_2_1,C,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,BHE,BHE_C_3_1,C,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,BHW,BHW_C_1_1,C,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,BHW,BHW_C_2_1,C,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,BHW,BHW_C_3_1,C,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,MLN,MLN_C_1_1,C,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,MLN,MLN_C_2_1,C,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,MLN,MLN_C_3_1,C,3,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10,MLS,MLS_C_1_1,C,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,MLS,MLS_C_2_1,C,2,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,MLS,MLS_C_3_1,C,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,NG,NG_C_1_1,C,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,NG,NG_C_2_1,C,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,NG,NG_C_3_1,C,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,SM,SM_C_1_1,C,1,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,SM,SM_C_2_1,C,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,SM,SM_C_3_1,C,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,SBN,SBN_C_1_1,C,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,SBN,SBN_C_2_1,C,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,SBN,SBN_C_3_1,C,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,SBS,SBS_C_1_1,C,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,SBS,SBS_C_2_1,C,2,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,SBS,SBS_C_3_1,C,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,BHE,BHE_C_1_2,C,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,BHE,BHE_C_2_2,C,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,BHE,BHE_C_3_2,C,3,2,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,BHW,BHW_C_1_2,C,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,BHW,BHW_C_2_2,C,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,BHW,BHW_C_3_2,C,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,MLN,MLN_C_1_2,C,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,MLN,MLN_C_2_2,C,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
