No.,STP,STPC,Estimate,Site,Treatment,Point,Count_period,Analysis
1,BHE_C_1,BHE_C_1_1,9.9905,BHE,C,1,1,All
3,BHE_C_2,BHE_C_2_2,3.7717,BHE,C,2,2,All
4,BHE_C_3,BHE_C_3_2,18.649,BHE,C,3,2,All
11,BHW_C_1,BHW_C_1_1,8.4983,BHW,C,1,1,All
13,BHW_C_2,BHW_C_2_2,8.1873,BHW,C,2,2,All
14,BHW_C_3,BHW_C_3_1,6.8976,BHW,C,3,1,All
21,MLN_C_1,MLN_C_1_1,5.4731,MLN,C,1,1,All
22,MLN_C_2,MLN_C_2_2,5.0352,MLN,C,2,2,All
23,MLN_C_3,MLN_C_3_2,7.8065,MLN,C,3,2,All
30,MLS_C_1,MLS_C_1_2,8.392,MLS,C,1,2,All
31,MLS_C_2,MLS_C_2_1,11.444,MLS,C,2,1,All
32,MLS_C_3,MLS_C_3_2,5.6895,MLS,C,3,2,All
39,NG_C_1,NG_C_1_2,6.7814,NG,C,1,2,All
41,NG_C_2,NG_C_2_2,7.7168,NG,C,2,2,All
42,NG_C_3,NG_C_3_2,10.276,NG,C,3,2,All
51,SBN_C_1,SBN_C_1_2,6.8506,SBN,C,1,2,All
52,SBN_C_2,SBN_C_2_1,9.4292,SBN,C,2,1,All
53,SBN_C_3,SBN_C_3_2,10.828,SBN,C,3,2,All
61,SBS_C_1,SBS_C_1_1,8.392,SBS,C,1,1,All
62,SBS_C_2,SBS_C_2_1,10.713,SBS,C,2,1,All
64,SBS_C_3,SBS_C_3_2,7.2974,SBS,C,3,2,All
71,SM_C_1,SM_C_1_2,10.07,SM,C,1,2,All
72,SM_C_2,SM_C_2_2,9.3245,SM,C,2,2,All
73,SM_C_3,SM_C_3_2,10.382,SM,C,3,2,All
5,BHE_O_1,BHE_O_1_1,6.1994,BHE,O,1,1,All
6,BHE_O_2,BHE_O_2_1,8.8,BHE,O,2,1,All
7,BHE_O_3,BHE_O_3_2,9.8227,BHE,O,3,2,All
15,BHW_O_1,BHW_O_1_2,8.5515,BHW,O,1,2,All
16,BHW_O_2,BHW_O_2_2,8.26,BHW,O,2,2,All
17,BHW_O_3,BHW_O_3_2,6.7722,BHW,O,3,2,All
24,MLN_O_1,MLN_O_1_1,9.2714,MLN,O,1,1,All
25,MLN_O_2,MLN_O_2_2,5.9337,MLN,O,2,2,All
26,MLN_O_3,MLN_O_3_1,7.3299,MLN,O,3,1,All
33,MLS_O_1,MLS_O_1_1,4.8866,MLS,O,1,1,All
34,MLS_O_2,MLS_O_2_2,3.5807,MLS,O,2,2,All
35,MLS_O_3,MLS_O_3_1,8.2413,MLS,O,3,1,All
43,NG_O_1,NG_O_1_2,5.5629,NG,O,1,2,All
44,NG_O_2,NG_O_2_1,7.5246,NG,O,2,1,All
45,NG_O_3,NG_O_3_1,5.7689,NG,O,3,1,All
54,SBN_O_1,SBN_O_1_1,5.4653,SBN,O,1,1,All
55,SBN_O_2,SBN_O_2_1,9.44,SBN,O,2,1,All
56,SBN_O_3,SBN_O_3_1,6.9227,SBN,O,3,1,All
65,SBS_O_1,SBS_O_1_1,4.5148,SBS,O,1,1,All
66,SBS_O_2,SBS_O_2_1,5.192,SBS,O,2,1,All
67,SBS_O_3,SBS_O_3_1,7.3299,SBS,O,3,1,All
74,SM_O_1,SM_O_1_2,2.8844,SM,O,1,2,All
75,SM_O_2,SM_O_2_2,4.5148,SM,O,2,2,All
76,SM_O_3,SM_O_3_1,3.0541,SM,O,3,1,All
8,BHE_Y_1,BHE_Y_1_1,6.9586,BHE,Y,1,1,All
9,BHE_Y_2,BHE_Y_2_2,5.8334,BHE,Y,2,2,All
10,BHE_Y_3,BHE_Y_3_1,3.9321,BHE,Y,3,1,All
18,BHW_Y_1,BHW_Y_1_1,4.4237,BHW,Y,1,1,All
19,BHW_Y_2,BHW_Y_2_2,6.3195,BHW,Y,2,2,All
20,BHW_Y_3,BHW_Y_3_2,4.4237,BHW,Y,3,2,All
27,MLN_Y_1,MLN_Y_1_2,4.4683,MLN,Y,1,2,All
28,MLN_Y_2,MLN_Y_2_1,5.4726,MLN,Y,2,1,All
29,MLN_Y_3,MLN_Y_3_1,3.3386,MLN,Y,3,1,All
36,MLS_Y_1,MLS_Y_1_1,4.8478,MLS,Y,1,1,All
37,MLS_Y_2,MLS_Y_2_1,1.7695,MLS,Y,2,1,All
38,MLS_Y_3,MLS_Y_3_1,3.6864,MLS,Y,3,1,All
46,NG_Y_1,NG_Y_1_2,0,NG,Y,1,2,All
48,NG_Y_2,NG_Y_2_2,2.1579,NG,Y,2,2,All
50,NG_Y_3,NG_Y_3_2,0,NG,Y,3,2,All
57,SBN_Y_1,SBN_Y_1_1,1.8432,SBN,Y,1,1,All
58,SBN_Y_2,SBN_Y_2_2,2.854,SBN,Y,2,2,All
60,SBN_Y_3,SBN_Y_3_2,0,SBN,Y,3,2,All
68,SBS_Y_1,SBS_Y_1_2,3.8467,SBS,Y,1,2,All
69,SBS_Y_2,SBS_Y_2_1,2.9167,SBS,Y,2,1,All
70,SBS_Y_3,SBS_Y_3_1,5.0847,SBS,Y,3,1,All
77,SM_Y_1,SM_Y_1_2,2.885,SM,Y,1,2,All
79,SM_Y_2,SM_Y_2_2,0,SM,Y,2,2,All
80,SM_Y_3,SM_Y_3_2,4.8478,SM,Y,3,2,All
