No.,STP,STPC,Estimate,Site,Treatment,Point,Count_period,Analysis
1,BHE_C_1,BHE_C_1_2,6.1311,BHE,C,1,2,Open
4,BHE_C_2,BHE_C_2_2,3.8578,BHE,C,2,2,Open
5,BHE_C_3,BHE_C_3_2,19.075,BHE,C,3,2,Open
6,BHE_Y_1,BHE_Y_1_2,0,BHE,Y,1,2,Open
8,BHE_Y_2,BHE_Y_2_1,2.9184,BHE,Y,2,1,Open
10,BHE_Y_3,BHE_Y_3_2,1.4754,BHE,Y,3,2,Open
11,BHW_C_1,BHW_C_1_1,8.6923,BHW,C,1,1,Open
13,BHW_C_2,BHW_C_2_2,8.3742,BHW,C,2,2,Open
14,BHW_C_3,BHW_C_3_1,7.055,BHW,C,3,1,Open
15,BHW_Y_1,BHW_Y_1_2,2.6557,BHW,Y,1,2,Open
17,BHW_Y_2,BHW_Y_2_2,4.0649,BHW,Y,2,2,Open
18,BHW_Y_3,BHW_Y_3_2,3.9836,BHW,Y,3,2,Open
19,MLN_C_1,MLN_C_1_2,5.598,MLN,C,1,2,Open
20,MLN_C_2,MLN_C_2_2,5.1502,MLN,C,2,2,Open
21,MLN_C_3,MLN_C_3_2,5.9886,MLN,C,3,2,Open
22,MLN_Y_1,MLN_Y_1_2,4.0238,MLN,Y,1,2,Open
24,MLN_Y_2,MLN_Y_2_1,2.7379,MLN,Y,2,1,Open
25,MLN_Y_3,MLN_Y_3_1,2.5054,MLN,Y,3,1,Open
26,MLS_C_1,MLS_C_1_2,8.5836,MLS,C,1,2,Open
27,MLS_C_2,MLS_C_2_1,11.705,MLS,C,2,1,Open
28,MLS_C_3,MLS_C_3_2,5.8194,MLS,C,3,2,Open
29,MLS_Y_1,MLS_Y_1_1,1.819,MLS,Y,1,1,Open
30,MLS_Y_2,MLS_Y_2_1,1.3279,MLS,Y,2,1,Open
31,MLS_Y_3,MLS_Y_3_1,4.1496,MLS,Y,3,1,Open
32,NG_C_1,NG_C_1_2,6.9362,NG,C,1,2,Open
34,NG_C_2,NG_C_2_2,7.893,NG,C,2,2,Open
35,NG_C_3,NG_C_3_2,10.511,NG,C,3,2,Open
37,NG_Y_1,NG_Y_1_2,0,NG,Y,1,2,Open
38,NG_Y_2,NG_Y_2_2,3.2387,NG,Y,2,2,Open
39,NG_Y_3,NG_Y_3_2,0,NG,Y,3,2,Open
41,SBN_C_1,SBN_C_1_2,7.007,SBN,C,1,2,Open
42,SBN_C_2,SBN_C_2_1,9.6445,SBN,C,2,1,Open
43,SBN_C_3,SBN_C_3_2,11.076,SBN,C,3,2,Open
44,SBN_Y_1,SBN_Y_1_1,2.7664,SBN,Y,1,1,Open
45,SBN_Y_2,SBN_Y_2_2,4.2834,SBN,Y,2,2,Open
46,SBN_Y_3,SBN_Y_3_2,0,SBN,Y,3,2,Open
48,SBS_C_1,SBS_C_1_1,8.5836,SBS,C,1,1,Open
49,SBS_C_2,SBS_C_2_1,10.958,SBS,C,2,1,Open
51,SBS_C_3,SBS_C_3_2,7.464,SBS,C,3,2,Open
52,SBS_Y_1,SBS_Y_1_2,3.8489,SBS,Y,1,2,Open
53,SBS_Y_2,SBS_Y_2_1,4.3776,SBS,Y,2,1,Open
54,SBS_Y_3,SBS_Y_3_1,7.6314,SBS,Y,3,1,Open
55,SM_C_1,SM_C_1_2,10.3,SM,C,1,2,Open
56,SM_C_2,SM_C_2_2,9.5373,SM,C,2,2,Open
57,SM_C_3,SM_C_3_2,10.619,SM,C,3,2,Open
58,SM_Y_1,SM_Y_1_2,4.33,SM,Y,1,2,Open
60,SM_Y_2,SM_Y_2_2,0,SM,Y,2,2,Open
61,SM_Y_3,SM_Y_3_1,3.638,SM,Y,3,1,Open
