No.,STP,STPC,Estimate,Site,Treatment,Point,Count_period,Analysis
1,BHE_O_1,BHE_O_1_1,4.8331,BHE,O,1,1,Scrub
2,BHE_O_2,BHE_O_2_1,7.3179,BHE,O,2,1,Scrub
3,BHE_O_3,BHE_O_3_2,8.7518,BHE,O,3,2,Scrub
4,BHE_Y_1,BHE_Y_1_1,3.7488,BHE,Y,1,1,Scrub
5,BHE_Y_2,BHE_Y_2_2,2.6188,BHE,Y,2,2,Scrub
6,BHE_Y_3,BHE_Y_3_2,1.5888,BHE,Y,3,2,Scrub
7,BHW_O_1,BHW_O_1_2,8.8891,BHW,O,1,2,Scrub
8,BHW_O_2,BHW_O_2_2,7.3595,BHW,O,2,2,Scrub
9,BHW_O_3,BHW_O_3_2,5.8662,BHW,O,3,2,Scrub
11,BHW_Y_1,BHW_Y_1_2,0.95326,BHW,Y,1,2,Scrub
12,BHW_Y_2,BHW_Y_2_2,1.9454,BHW,Y,2,2,Scrub
13,BHW_Y_3,BHW_Y_3_2,0.95326,BHW,Y,3,2,Scrub
14,MLN_O_1,MLN_O_1_1,7.7099,MLN,O,1,1,Scrub
15,MLN_O_2,MLN_O_2_2,6.1679,MLN,O,2,2,Scrub
16,MLN_O_3,MLN_O_3_1,5.0795,MLN,O,3,1,Scrub
17,MLN_Y_1,MLN_Y_1_2,0.96289,MLN,Y,1,2,Scrub
18,MLN_Y_2,MLN_Y_2_1,1.4741,MLN,Y,2,1,Scrub
20,MLN_Y_3,MLN_Y_3_2,0.8993,MLN,Y,3,2,Scrub
21,MLS_O_1,MLS_O_1_1,5.0795,MLS,O,1,1,Scrub
22,MLS_O_2,MLS_O_2_2,3.722,MLS,O,2,2,Scrub
23,MLS_O_3,MLS_O_3_1,8.5666,MLS,O,3,1,Scrub
24,MLS_Y_1,MLS_Y_1_1,1.9588,MLS,Y,1,1,Scrub
25,MLS_Y_2,MLS_Y_2_1,0.47663,MLS,Y,2,1,Scrub
26,MLS_Y_3,MLS_Y_3_2,0.49649,MLS,Y,3,2,Scrub
28,NG_O_1,NG_O_1_2,5.7824,NG,O,1,2,Scrub
29,NG_O_2,NG_O_2_2,4.693,NG,O,2,2,Scrub
30,NG_O_3,NG_O_3_1,5.9966,NG,O,3,1,Scrub
31,NG_Y_1,NG_Y_1_2,0,NG,Y,1,2,Scrub
34,NG_Y_2,NG_Y_2_2,0,NG,Y,2,2,Scrub
36,NG_Y_3,NG_Y_3_2,0,NG,Y,3,2,Scrub
37,SBN_O_1,SBN_O_1_1,2.2724,SBN,O,1,1,Scrub
38,SBN_O_2,SBN_O_2_1,5.6072,SBN,O,2,1,Scrub
39,SBN_O_3,SBN_O_3_1,3.598,SBN,O,3,1,Scrub
41,SBN_Y_1,SBN_Y_1_2,0,SBN,Y,1,2,Scrub
42,SBN_Y_2,SBN_Y_2_1,0.51251,SBN,Y,2,1,Scrub
44,SBN_Y_3,SBN_Y_3_2,0,SBN,Y,3,2,Scrub
45,SBS_O_1,SBS_O_1_1,2.3465,SBS,O,1,1,Scrub
46,SBS_O_2,SBS_O_2_1,3.2382,SBS,O,2,1,Scrub
47,SBS_O_3,SBS_O_3_1,6.3493,SBS,O,3,1,Scrub
48,SBS_Y_1,SBS_Y_1_2,0.69077,SBS,Y,1,2,Scrub
50,SBS_Y_2,SBS_Y_2_2,0,SBS,Y,2,2,Scrub
51,SBS_Y_3,SBS_Y_3_2,0,SBS,Y,3,2,Scrub
53,SM_O_1,SM_O_1_1,1.4992,SM,O,1,1,Scrub
54,SM_O_2,SM_O_2_2,3.1287,SM,O,2,2,Scrub
55,SM_O_3,SM_O_3_2,1.5873,SM,O,3,2,Scrub
57,SM_Y_1,SM_Y_1_2,0,SM,Y,1,2,Scrub
59,SM_Y_2,SM_Y_2_2,0,SM,Y,2,2,Scrub
60,SM_Y_3,SM_Y_3_2,1.9588,SM,Y,3,2,Scrub
