location,treatment,no.trees,tree.height,cwd,tree.dist,vor,brash.vol,brash.dec,brash.veg,gor.bra,hea.bil,gra.for,bar.mos,rus.woo,ferns,veg.height,moisture,canopy.cover
BHE,C,0,0,0,25,6.25,0,0,0,0,77.91666667,7.5,14.58333333,0,0,0.264375,1,0
BHE,O,21.75,3.55,2,2.4225,30.05555556,273.7308949,3.25,3,12.91666667,52.91666667,31.25,1.666666667,1.25,0,0.6025,1,76.66666667
BHE,Y,15,2.15,4,1.836,10.30555556,93.95914578,2,2.75,12.5,54.58333333,27.5,4.166666667,0.833333333,0,0.504166667,1,13.75
BHW,C,0,0,0,25,5.944444444,0,0,0,0.416666667,57.7775,36.38916667,5.416666667,0,0,0.3775,1,0
BHW,O,18,2.325,1.75,1.8495,19.13888889,51.49463058,3.5,2.75,48.65083333,37.32166667,13.21416667,0.813333333,0,0,0.86875,1,22.5
BHW,Y,14,1.675,1.25,1.6185,22.58333333,104.7528727,3,3,5.275,21.77,27.49857143,0.793571429,0,44.66285714,0.644583333,1,5.833333333
MLN,C,0,0,0,25,13.41666667,0,0,0,0,40.2775,53.33333333,6.389166667,0,0,0.593125,1,0
MLN,O,14,2.375,1.5,1.605,8.215277778,112.4010801,3,2.5,0,94.16666667,5,0.416666667,0.416666667,0,0.447916667,1,16.25
MLN,Y,20.25,1.85,10,1.785,12.69444444,219.4901196,2,1.25,0,31.4445,38.6905,5.111,23.754,0,0.403333333,1,3.75
MLS,C,0,0,0,25,7.5,0,0,0,0,36,61,3,0,0,0.393125,1,0
MLS,O,38.25,3,4,1.615,13.44444444,82.73776952,3.25,2.25,0,62.91666667,2.5,34.58333333,0,0,0.308333333,1,55
MLS,Y,16,0.975,7.25,2.6925,7.027777778,127.9413608,1,1,0,20.45454545,20,59.54545455,0,0,0.272954545,1,21.25
NG,C,0,0,0,25,5.805555556,0,0,0,0,66.66666667,1.666666667,31.66666667,0,0,0.309791667,1,0
NG,O,18.75,1.85,3.25,3.7475,10.61111111,167.4900853,2,3,2.8575,97.1425,0,0,0,0,0.484375,1,22.91666667
NG,Y,14,0.9,7.5,2.85,7.388888889,114.8644814,2,1.5,0,18.12636364,57.32454545,24.07090909,0,0,0.313333333,1,1.666666667
SBN,C,0,0,0,25,8.083333333,0,0,0,0,75.83333333,20,4.166666667,0,0,0.408125,1,0
SBN,O,17.5,2.35,3.75,2.644,13.36111111,82.80315392,3,2.5,0,92.27272727,1.818181818,4.090909091,1.818181818,0,0.34875,1,55.41666667
SBN,Y,21.5,1.25,12.25,1.7225,18.08333333,189.9681808,2,1,0,85.16666667,3.421666667,11.41166667,0,0,0.410208333,1,5.833333333
SBS,C,0,0,0,25,6.277777778,0,0,0,0.833333333,87.08333333,10.83333333,1.25,0,0,0.412291667,1,0
SBS,O,14.25,2.3,10.25,2.225,12.08333333,141.3716694,3.75,3,0,47.77545455,46.74636364,5.478181818,0,0,0.534375,1.083333333,2.5
SBS,Y,17.33333333,0.75,10.33333333,2.395,4.055555556,51.95173231,1,1.5,0,6.111111111,66.66666667,17.22222222,7.222222222,0,0.235277778,1,1.944444444
SM,C,0,0,0,25,8.861111111,0,0,0,0,50.83333333,49.16666667,0,0,0,0.333541667,1,0
SM,O,10.33333333,2.25,4.5,3.386666667,13.83333333,96.77833249,3,2.666666667,0,52.22222222,15.83333333,1.111111111,29.16666667,0.277777778,0.46375,1,26.11111111
SM,Y,13.5,1.2,10.25,2.403,13.05555556,62.29189183,3.75,3,6.854545455,0.909090909,58.82181818,8.782727273,24.63181818,0,0.500208333,1,1.666666667
